team,total_matches,total_wins,win_rate,toss_win_rate,recent_form
Gujarat Titans,45,28,0.6222,0.4889,0.4
Chennai Super Kings,237,138,0.5823,0.5105,0.5
Lucknow Super Giants,43,24,0.5581,0.4419,0.4
Mumbai Indians,261,144,0.5517,0.5479,0.3
Kolkata Knight Riders,251,131,0.5219,0.4861,0.8
Rajasthan Royals,219,112,0.5114,0.5388,0.5
Rising Pune Supergiants,30,15,0.5,0.4333,0.7
Royal Challengers Bangalore,237,116,0.4895,0.4726,0.5
Sunrisers Hyderabad,182,88,0.4835,0.4835,0.5
Royal Challengers Bengaluru,15,7,0.4667,0.5333,0.6
Kings XI Punjab,190,88,0.4632,0.4474,0.5
Delhi Capitals,250,115,0.46,0.516,0.6
Gujarat Lions,30,13,0.4333,0.5,0.3
Punjab Kings,56,24,0.4286,0.4286,0.3
Kochi Tuskers Kerala,14,6,0.4286,0.5714,0.4
Deccan Chargers,75,29,0.3867,0.5733,0.4
Pune Warriors,45,12,0.2667,0.4444,0.2
