league,home_wins,away_wins,draws,total,home_win_pct,away_win_pct,draw_pct
Spain LIGA BBVA,1485,851,704,3040,48.8,28.0,23.2
Netherlands Eredivisie,1171,696,581,2448,47.8,28.4,23.7
Belgium Jupiler League,810,493,425,1728,46.9,28.5,24.6
Italy Serie A,1407,814,796,3017,46.6,27.0,26.4
England Premier League,1390,867,783,3040,45.7,28.5,25.8
Switzerland Super League,650,426,346,1422,45.7,30.0,24.3
Poland Ekstraklasa,870,525,525,1920,45.3,27.3,27.3
Germany 1. Bundesliga,1107,744,597,2448,45.2,30.4,24.4
France Ligue 1,1359,822,859,3040,44.7,27.0,28.3
Portugal Liga ZON Sagres,908,611,533,2052,44.2,29.8,26.0
Scotland Premier League,760,617,447,1824,41.7,33.8,24.5
